Comunidades y Ciudades Autónomas;Edad del trabajador;Sexo;Periodo;Total
Total Nacional;De 45 a 54 años;Mujeres;2019;23.533,17
Total Nacional;De 45 a 54 años;Mujeres;2018;22.829,59
Total Nacional;De 45 a 54 años;Mujeres;2017;22.255,39
Total Nacional;De 45 a 54 años;Mujeres;2016;21.828,42
Total Nacional;De 45 a 54 años;Mujeres;2015;21.771,55
Total Nacional;De 45 a 54 años;Mujeres;2014;21.410,42
Total Nacional;De 45 a 54 años;Mujeres;2013;21.213,96
Total Nacional;De 45 a 54 años;Mujeres;2012;21.237,43
Total Nacional;De 45 a 54 años;Mujeres;2011;21.829,47
Total Nacional;De 45 a 54 años;Mujeres;2010;21.675,05
Total Nacional;De 45 a 54 años;Mujeres;2009;21.551,9
Total Nacional;De 45 a 54 años;Mujeres;2008;21.340,87
Total Nacional;De 45 a 54 años;Hombres;2021;31.273,39
Total Nacional;De 45 a 54 años;Hombres;2020;30.434,65
Total Nacional;De 45 a 54 años;Hombres;2019;30.029,17
Total Nacional;De 45 a 54 años;Hombres;2018;29.618,95
Total Nacional;De 45 a 54 años;Hombres;2017;29.293,68
Total Nacional;De 45 a 54 años;Hombres;2016;28.824,47
Total Nacional;De 45 a 54 años;Hombres;2015;28.959,09
Total Nacional;De 45 a 54 años;Hombres;2014;29.029,78
Total Nacional;De 45 a 54 años;Hombres;2013;28.930,53
Total Nacional;De 45 a 54 años;Hombres;2012;28.863,01
Total Nacional;De 45 a 54 años;Hombres;2011;29.217,8
Total Nacional;De 45 a 54 años;Hombres;2010;29.352,84
Total Nacional;De 45 a 54 años;Hombres;2009;28.565,98
Total Nacional;De 45 a 54 años;Hombres;2008;27.707,01
Total Nacional;55 y más años;Ambos sexos;2021;28.687,17
Total Nacional;55 y más años;Ambos sexos;2020;28.124,29
Total Nacional;55 y más años;Ambos sexos;2019;27.539,73
Total Nacional;55 y más años;Ambos sexos;2018;27.150,93
Total Nacional;55 y más años;Ambos sexos;2017;26.646,32
Total Nacional;55 y más años;Ambos sexos;2016;26.202,6
Total Nacional;55 y más años;Ambos sexos;2015;26.327
Total Nacional;55 y más años;Ambos sexos;2014;26.137,13
Total Nacional;55 y más años;Ambos sexos;2013;25.631,6
Total Nacional;55 y más años;Ambos sexos;2012;25.372,97
Total Nacional;55 y más años;Ambos sexos;2011;26.124,09
Total Nacional;55 y más años;Ambos sexos;2010;26.162,43
Total Nacional;55 y más años;Ambos sexos;2009;25.281,3
Total Nacional;55 y más años;Ambos sexos;2008;25.235,33
Total Nacional;55 y más años;Mujeres;2021;25.416,49
Total Nacional;55 y más años;Mujeres;2020;24.911,13
Total Nacional;55 y más años;Mujeres;2019;24.282,38
Total Nacional;55 y más años;Mujeres;2018;23.232,38
Total Nacional;55 y más años;Mujeres;2017;22.662,69
Total Nacional;55 y más años;Mujeres;2016;22.027,07
Total Nacional;55 y más años;Mujeres;2015;22.024,79
Total Nacional;55 y más años;Mujeres;2014;21.621,14
Total Nacional;55 y más años;Mujeres;2013;21.754,61
Total Nacional;55 y más años;Mujeres;2012;21.450,9
Total Nacional;55 y más años;Mujeres;2011;22.089,51
Total Nacional;55 y más años;Mujeres;2010;21.912,33
Total Nacional;55 y más años;Mujeres;2009;21.543,96
Total Nacional;55 y más años;Mujeres;2008;21.361,36
Total Nacional;55 y más años;Hombres;2021;31.767,8
Total Nacional;55 y más años;Hombres;2020;31.156,11
Total Nacional;55 y más años;Hombres;2019;30.587,07
Total Nacional;55 y más años;Hombres;2018;30.620,49
Total Nacional;55 y más años;Hombres;2017;30.111,81
Total Nacional;55 y más años;Hombres;2016;29.941,58
Total Nacional;55 y más años;Hombres;2015;30.145,96
Total Nacional;55 y más años;Hombres;2014;29.720,71
Total Nacional;55 y más años;Hombres;2013;28.852,18
Total Nacional;55 y más años;Hombres;2012;28.436,4
Total Nacional;55 y más años;Hombres;2011;28.958,9
Total Nacional;55 y más años;Hombres;2010;29.018,26
Total Nacional;55 y más años;Hombres;2009;27.499,13
Total Nacional;55 y más años;Hombres;2008;27.213,38
Andalucía;Todas las edades;Ambos sexos;2021;23.154,99
Andalucía;Todas las edades;Ambos sexos;2020;22.323,85
Andalucía;Todas las edades;Ambos sexos;2019;22.060,99
Andalucía;Todas las edades;Ambos sexos;2018;21.805,92
Andalucía;Todas las edades;Ambos sexos;2017;21.404,28
Andalucía;Todas las edades;Ambos sexos;2016;21.268,41
Andalucía;Todas las edades;Ambos sexos;2015;21.381,03
Andalucía;Todas las edades;Ambos sexos;2014;20.840,3
Andalucía;Todas las edades;Ambos sexos;2013;20.782,03
Andalucía;Todas las edades;Ambos sexos;2012;20.891,63
Andalucía;Todas las edades;Ambos sexos;2011;21.350,98
Andalucía;Todas las edades;Ambos sexos;2010;20.964,36
Andalucía;Todas las edades;Ambos sexos;2009;20.906,33
Andalucía;Todas las edades;Ambos sexos;2008;20.138,56
Andalucía;Todas las edades;Mujeres;2021;20.427,8
Andalucía;Todas las edades;Mujeres;2020;19.517,52
Andalucía;Todas las edades;Mujeres;2019;19.391,52
Andalucía;Todas las edades;Mujeres;2018;18.672,11
Andalucía;Todas las edades;Mujeres;2017;18.287,29
Andalucía;Todas las edades;Mujeres;2016;18.177,37
Andalucía;Todas las edades;Mujeres;2015;18.340,96
Andalucía;Todas las edades;Mujeres;2014;17.576,13
Andalucía;Todas las edades;Mujeres;2013;17.690,19
Andalucía;Todas las edades;Mujeres;2012;17.828,44
Andalucía;Todas las edades;Mujeres;2011;18.389,21
Andalucía;Todas las edades;Mujeres;2010;17.921,33
Andalucía;Todas las edades;Mujeres;2009;18.371,23
Andalucía;Todas las edades;Mujeres;2008;17.298,33
Andalucía;Todas las edades;Hombres;2021;25.464,78
Andalucía;Todas las edades;Hombres;2020;24.785,82
Andalucía;Todas las edades;Hombres;2019;24.527,67
Andalucía;Todas las edades;Hombres;2018;24.712,69
Andalucía;Todas las edades;Hombres;2017;24.175,52
Andalucía;Todas las edades;Hombres;2016;24.026,82
Andalucía;Todas las edades;Hombres;2015;24.200,2
Andalucía;Todas las edades;Hombres;2014;23.541,32
Andalucía;Todas las edades;Hombres;2013;23.565,36
Andalucía;Todas las edades;Hombres;2012;23.592,08
Andalucía;Todas las edades;Hombres;2011;23.815,22
Andalucía;Todas las edades;Hombres;2010;23.463,96
Andalucía;Todas las edades;Hombres;2009;22.908,86
Andalucía;Todas las edades;Hombres;2008;22.108,57
Andalucía;Menos de 25 años;Ambos sexos;2021;12.589,64
Andalucía;Menos de 25 años;Ambos sexos;2020;-11.313,88
Andalucía;Menos de 25 años;Ambos sexos;2019;11.639,2
Andalucía;Menos de 25 años;Ambos sexos;2018;11.235,7
Andalucía;Menos de 25 años;Ambos sexos;2017;-11.077,23
Andalucía;Menos de 25 años;Ambos sexos;2016;-10.237,29
Andalucía;Menos de 25 años;Ambos sexos;2015;-10.114,22
Andalucía;Menos de 25 años;Ambos sexos;2014;-10.002,97
Andalucía;Menos de 25 años;Ambos sexos;2013;-9.672,48
Andalucía;Menos de 25 años;Ambos sexos;2012;10.543,85
Andalucía;Menos de 25 años;Ambos sexos;2011;11.059,79
Andalucía;Menos de 25 años;Ambos sexos;2010;11.617,72
Andalucía;Menos de 25 años;Ambos sexos;2009;11.955,24
Andalucía;Menos de 25 años;Ambos sexos;2008;12.599,88
Andalucía;Menos de 25 años;Mujeres;2021;-11.646,17
Andalucía;Menos de 25 años;Mujeres;2020;-10.674,17
Andalucía;Menos de 25 años;Mujeres;2019;-10.615,13
Andalucía;Menos de 25 años;Mujeres;2018;-9.211,37
Andalucía;Menos de 25 años;Mujeres;2017;-9.206,05
Andalucía;Menos de 25 años;Mujeres;2016;-7.817,19
Andalucía;Menos de 25 años;Mujeres;2015;-7.772,47
Andalucía;Menos de 25 años;Mujeres;2014;-8.716,88
Andalucía;Menos de 25 años;Mujeres;2013;-8.368,81
Andalucía;Menos de 25 años;Mujeres;2012;-10.164,88
Andalucía;Menos de 25 años;Mujeres;2011;-9.703,81
Andalucía;Menos de 25 años;Mujeres;2010;-9.803,97
Andalucía;Menos de 25 años;Mujeres;2009;-10.693,23
Andalucía;Menos de 25 años;Mujeres;2008;10.588,97
Andalucía;Menos de 25 años;Hombres;2021;-13.389,36
Andalucía;Menos de 25 años;Hombres;2020;-11.920,68
Andalucía;Menos de 25 años;Hombres;2019;-12.772,33
Andalucía;Menos de 25 años;Hombres;2018;-12.854,44
Andalucía;Menos de 25 años;Hombres;2017;-12.446,94
Andalucía;Menos de 25 años;Hombres;2016;-11.765,44
Andalucía;Menos de 25 años;Hombres;2015;-12.792,52
Andalucía;Menos de 25 años;Hombres;2014;-11.518,02
Andalucía;Menos de 25 años;Hombres;2013;-11.088,59
Andalucía;Menos de 25 años;Hombres;2012;-10.936,94
Andalucía;Menos de 25 años;Hombres;2011;-12.554,48
Andalucía;Menos de 25 años;Hombres;2010;-13.545,47
Andalucía;Menos de 25 años;Hombres;2009;-13.087,72
Andalucía;Menos de 25 años;Hombres;2008;14.405
Andalucía;De 25 a 34 años;Ambos sexos;2021;17.630,72
Andalucía;De 25 a 34 años;Ambos sexos;2020;16.643,35
Andalucía;De 25 a 34 años;Ambos sexos;2019;16.509,01
Andalucía;De 25 a 34 años;Ambos sexos;2018;16.293,48
Andalucía;De 25 a 34 años;Ambos sexos;2017;15.899,01
Andalucía;De 25 a 34 años;Ambos sexos;2016;15.768,58
Andalucía;De 25 a 34 años;Ambos sexos;2015;15.910,78
Andalucía;De 25 a 34 años;Ambos sexos;2014;15.996,71
Andalucía;De 25 a 34 años;Ambos sexos;2013;15.480,24
Andalucía;De 25 a 34 años;Ambos sexos;2012;16.476,61
Andalucía;De 25 a 34 años;Ambos sexos;2011;16.969,88
Andalucía;De 25 a 34 años;Ambos sexos;2010;17.299,79
Andalucía;De 25 a 34 años;Ambos sexos;2009;17.343,71
Andalucía;De 25 a 34 años;Ambos sexos;2008;17.461,83
Andalucía;De 25 a 34 años;Mujeres;2021;15.807,27
Andalucía;De 25 a 34 años;Mujeres;2020;14.969,7
Andalucía;De 25 a 34 años;Mujeres;2019;15.058,34
Andalucía;De 25 a 34 años;Mujeres;2018;14.473,92
Andalucía;De 25 a 34 años;Mujeres;2017;13.955,95
Andalucía;De 25 a 34 años;Mujeres;2016;14.025,59
Andalucía;De 25 a 34 años;Mujeres;2015;14.246,82
Andalucía;De 25 a 34 años;Mujeres;2014;14.412,43
Andalucía;De 25 a 34 años;Mujeres;2013;13.859,65
Andalucía;De 25 a 34 años;Mujeres;2012;14.744,31
Andalucía;De 25 a 34 años;Mujeres;2011;15.194,94
Andalucía;De 25 a 34 años;Mujeres;2010;15.130,18
Andalucía;De 25 a 34 años;Mujeres;2009;15.425,52
Andalucía;De 25 a 34 años;Mujeres;2008;15.448,77
Andalucía;De 25 a 34 años;Hombres;2021;19.392,38
Andalucía;De 25 a 34 años;Hombres;2020;18.357,06
Andalucía;De 25 a 34 años;Hombres;2019;17.978,73
Andalucía;De 25 a 34 años;Hombres;2018;18.269,69
Andalucía;De 25 a 34 años;Hombres;2017;17.724,05
Andalucía;De 25 a 34 años;Hombres;2016;17.555,24
Andalucía;De 25 a 34 años;Hombres;2015;17.714,8
Andalucía;De 25 a 34 años;Hombres;2014;17.586,35
Andalucía;De 25 a 34 años;Hombres;2013;17.277,45
Andalucía;De 25 a 34 años;Hombres;2012;18.590,66
Andalucía;De 25 a 34 años;Hombres;2011;18.903,23
Andalucía;De 25 a 34 años;Hombres;2010;19.574,29
Andalucía;De 25 a 34 años;Hombres;2009;19.180,92
Andalucía;De 25 a 34 años;Hombres;2008;19.097,13
Andalucía;De 35 a 44 años;Ambos sexos;2021;21.963,74
Andalucía;De 35 a 44 años;Ambos sexos;2020;21.661,47
Andalucía;De 35 a 44 años;Ambos sexos;2019;21.634,39
Andalucía;De 35 a 44 años;Ambos sexos;2018;21.623,12
Andalucía;De 35 a 44 años;Ambos sexos;2017;20.720,14
Andalucía;De 35 a 44 años;Ambos sexos;2016;20.651,87
Andalucía;De 35 a 44 años;Ambos sexos;2015;21.004,85
Andalucía;De 35 a 44 años;Ambos sexos;2014;21.256,42
Andalucía;De 35 a 44 años;Ambos sexos;2013;20.980,48
Andalucía;De 35 a 44 años;Ambos sexos;2012;21.393,06
Andalucía;De 35 a 44 años;Ambos sexos;2011;21.693,11
Andalucía;De 35 a 44 años;Ambos sexos;2010;21.617,34
Andalucía;De 35 a 44 años;Ambos sexos;2009;21.468,02
Andalucía;De 35 a 44 años;Ambos sexos;2008;20.948,63
Andalucía;De 35 a 44 años;Mujeres;2021;19.469,77
Andalucía;De 35 a 44 años;Mujeres;2020;18.941,71
Andalucía;De 35 a 44 años;Mujeres;2019;18.933,01
Andalucía;De 35 a 44 años;Mujeres;2018;18.962,17
Andalucía;De 35 a 44 años;Mujeres;2017;17.651,43
Andalucía;De 35 a 44 años;Mujeres;2016;18.000,85
Andalucía;De 35 a 44 años;Mujeres;2015;18.583,21
Andalucía;De 35 a 44 años;Mujeres;2014;18.514,53
Andalucía;De 35 a 44 años;Mujeres;2013;17.910,03
Andalucía;De 35 a 44 años;Mujeres;2012;18.432,6
Andalucía;De 35 a 44 años;Mujeres;2011;18.976,98
Andalucía;De 35 a 44 años;Mujeres;2010;19.401,93
Andalucía;De 35 a 44 años;Mujeres;2009;19.321,77
Andalucía;De 35 a 44 años;Mujeres;2008;18.362,56
Andalucía;De 35 a 44 años;Hombres;2021;24.123,61
Andalucía;De 35 a 44 años;Hombres;2020;24.148,1
Andalucía;De 35 a 44 años;Hombres;2019;24.278,3
Andalucía;De 35 a 44 años;Hombres;2018;24.243,78
Andalucía;De 35 a 44 años;Hombres;2017;23.640,31
Andalucía;De 35 a 44 años;Hombres;2016;22.986,9
Andalucía;De 35 a 44 años;Hombres;2015;23.108,34
Andalucía;De 35 a 44 años;Hombres;2014;23.661,96
Andalucía;De 35 a 44 años;Hombres;2013;23.732,35
Andalucía;De 35 a 44 años;Hombres;2012;23.907,53
Andalucía;De 35 a 44 años;Hombres;2011;23.867,78
Andalucía;De 35 a 44 años;Hombres;2010;23.309,14
Andalucía;De 35 a 44 años;Hombres;2009;23.168,84
Andalucía;De 35 a 44 años;Hombres;2008;22.740,23
Andalucía;De 45 a 54 años;Ambos sexos;2021;25.423,1
Andalucía;De 45 a 54 años;Ambos sexos;2020;24.589,9
Andalucía;De 45 a 54 años;Ambos sexos;2019;24.337,25
Andalucía;De 45 a 54 años;Ambos sexos;2018;24.444,08
Andalucía;De 45 a 54 años;Ambos sexos;2017;23.983,48
Andalucía;De 45 a 54 años;Ambos sexos;2016;23.770,4
Andalucía;De 45 a 54 años;Ambos sexos;2015;23.954,65
Andalucía;De 45 a 54 años;Ambos sexos;2014;24.689,43
Andalucía;De 45 a 54 años;Ambos sexos;2013;23.307,16
Andalucía;De 45 a 54 años;Ambos sexos;2012;23.736,62
Andalucía;De 45 a 54 años;Ambos sexos;2011;25.184,46
Andalucía;De 45 a 54 años;Ambos sexos;2010;24.762,06
Andalucía;De 45 a 54 años;Ambos sexos;2009;25.029,79
Andalucía;De 45 a 54 años;Ambos sexos;2008;24.046,15
Andalucía;De 45 a 54 años;Mujeres;2021;22.028,12
Andalucía;De 45 a 54 años;Mujeres;2020;21.442,45
Andalucía;De 45 a 54 años;Mujeres;2019;21.570,16
Andalucía;De 45 a 54 años;Mujeres;2018;21.022,76
Andalucía;De 45 a 54 años;Mujeres;2017;20.357,81
Andalucía;De 45 a 54 años;Mujeres;2016;19.806,96
Andalucía;De 45 a 54 años;Mujeres;2015;19.915,41
Andalucía;De 45 a 54 años;Mujeres;2014;20.400,07
Andalucía;De 45 a 54 años;Mujeres;2013;19.938,88
Andalucía;De 45 a 54 años;Mujeres;2012;20.190,68
Andalucía;De 45 a 54 años;Mujeres;2011;21.732,32
Andalucía;De 45 a 54 años;Mujeres;2010;21.094,18
Andalucía;De 45 a 54 años;Mujeres;2009;21.790,52
Andalucía;De 45 a 54 años;Mujeres;2008;20.772,37
Andalucía;De 45 a 54 años;Hombres;2021;28.217,42
Andalucía;De 45 a 54 años;Hombres;2020;27.081,25
Andalucía;De 45 a 54 años;Hombres;2019;26.630,49
