Comunidades y ciudades autónomas;Sexo;Número de penas;Periodo;Total
Total Nacional;Hombres;Condenados con dos penas;2017;74.462
Total Nacional;Hombres;Condenados con dos penas;2016;76.056
Total Nacional;Hombres;Condenados con dos penas;2015;76.679
Total Nacional;Hombres;Condenados con dos penas;2014;80.851
Total Nacional;Hombres;Condenados con dos penas;2013;85.024
Total Nacional;Hombres;Condenados con tres penas;2022;29.384
Total Nacional;Hombres;Condenados con tres penas;2021;27.821
Total Nacional;Hombres;Condenados con tres penas;2020;21.666
Total Nacional;Hombres;Condenados con tres penas;2019;27.541
Total Nacional;Hombres;Condenados con tres penas;2018;28.117
Total Nacional;Hombres;Condenados con tres penas;2017;27.992
Total Nacional;Hombres;Condenados con tres penas;2016;27.472
Total Nacional;Hombres;Condenados con tres penas;2015;25.934
Total Nacional;Hombres;Condenados con tres penas;2014;26.798
Total Nacional;Hombres;Condenados con tres penas;2013;27.278
Total Nacional;Hombres;Condenados con cuatro penas;2022;25.398
Total Nacional;Hombres;Condenados con cuatro penas;2021;23.376
Total Nacional;Hombres;Condenados con cuatro penas;2020;18.321
Total Nacional;Hombres;Condenados con cuatro penas;2019;22.388
Total Nacional;Hombres;Condenados con cuatro penas;2018;21.628
Total Nacional;Hombres;Condenados con cuatro penas;2017;21.435
Total Nacional;Hombres;Condenados con cuatro penas;2016;20.992
Total Nacional;Hombres;Condenados con cuatro penas;2015;21.413
Total Nacional;Hombres;Condenados con cuatro penas;2014;20.893
Total Nacional;Hombres;Condenados con cuatro penas;2013;20.342
Total Nacional;Hombres;Condenados con cinco penas;2022;10.680
Total Nacional;Hombres;Condenados con cinco penas;2021;10.664
Total Nacional;Hombres;Condenados con cinco penas;2020;8.052
Total Nacional;Hombres;Condenados con cinco penas;2019;10.402
Total Nacional;Hombres;Condenados con cinco penas;2018;10.285
Total Nacional;Hombres;Condenados con cinco penas;2017;9.825
Total Nacional;Hombres;Condenados con cinco penas;2016;9.545
Total Nacional;Hombres;Condenados con cinco penas;2015;8.941
Total Nacional;Hombres;Condenados con cinco penas;2014;9.168
Total Nacional;Hombres;Condenados con cinco penas;2013;9.348
Total Nacional;Hombres;Condenados con seis o más penas;2022;26.102
Total Nacional;Hombres;Condenados con seis o más penas;2021;24.938
Total Nacional;Hombres;Condenados con seis o más penas;2020;17.604
Total Nacional;Hombres;Condenados con seis o más penas;2019;22.893
Total Nacional;Hombres;Condenados con seis o más penas;2018;21.277
Total Nacional;Hombres;Condenados con seis o más penas;2017;20.169
Total Nacional;Hombres;Condenados con seis o más penas;2016;18.249
Total Nacional;Hombres;Condenados con seis o más penas;2015;16.435
Total Nacional;Hombres;Condenados con seis o más penas;2014;16.297
Total Nacional;Hombres;Condenados con seis o más penas;2013;15.268
Total Nacional;Mujeres;Total;2022;58.763
Total Nacional;Mujeres;Total;2021;54.421
Total Nacional;Mujeres;Total;2020;43.181
Total Nacional;Mujeres;Total;2019;59.209
Total Nacional;Mujeres;Total;2018;59.426
Total Nacional;Mujeres;Total;2017;59.583
Total Nacional;Mujeres;Total;2016;52.246
Total Nacional;Mujeres;Total;2015;31.986
Total Nacional;Mujeres;Total;2014;27.219
Total Nacional;Mujeres;Total;2013;25.180
Total Nacional;Mujeres;Condenados con una pena;2022;30.048
Total Nacional;Mujeres;Condenados con una pena;2021;27.506
Total Nacional;Mujeres;Condenados con una pena;2020;22.837
Total Nacional;Mujeres;Condenados con una pena;2019;31.813
Total Nacional;Mujeres;Condenados con una pena;2018;32.548
Total Nacional;Mujeres;Condenados con una pena;2017;32.901
Total Nacional;Mujeres;Condenados con una pena;2016;27.743
Total Nacional;Mujeres;Condenados con una pena;2015;11.032
Total Nacional;Mujeres;Condenados con una pena;2014;6.655
Total Nacional;Mujeres;Condenados con una pena;2013;6.015
Total Nacional;Mujeres;Condenados con dos penas;2022;15.534
Total Nacional;Mujeres;Condenados con dos penas;2021;13.810
Total Nacional;Mujeres;Condenados con dos penas;2020;10.758
Total Nacional;Mujeres;Condenados con dos penas;2019;14.216
Total Nacional;Mujeres;Condenados con dos penas;2018;14.223
Total Nacional;Mujeres;Condenados con dos penas;2017;14.476
Total Nacional;Mujeres;Condenados con dos penas;2016;13.647
Total Nacional;Mujeres;Condenados con dos penas;2015;11.962
Total Nacional;Mujeres;Condenados con dos penas;2014;11.848
Total Nacional;Mujeres;Condenados con dos penas;2013;11.306
Total Nacional;Mujeres;Condenados con tres penas;2022;5.561
Total Nacional;Mujeres;Condenados con tres penas;2021;5.578
Total Nacional;Mujeres;Condenados con tres penas;2020;4.187
Total Nacional;Mujeres;Condenados con tres penas;2019;5.727
Total Nacional;Mujeres;Condenados con tres penas;2018;5.608
Total Nacional;Mujeres;Condenados con tres penas;2017;5.626
Total Nacional;Mujeres;Condenados con tres penas;2016;5.152
Total Nacional;Mujeres;Condenados con tres penas;2015;4.245
Total Nacional;Mujeres;Condenados con tres penas;2014;4.200
Total Nacional;Mujeres;Condenados con tres penas;2013;3.867
Total Nacional;Mujeres;Condenados con cuatro penas;2022;3.396
Total Nacional;Mujeres;Condenados con cuatro penas;2021;3.262
Total Nacional;Mujeres;Condenados con cuatro penas;2020;2.466
Total Nacional;Mujeres;Condenados con cuatro penas;2019;3.188
Total Nacional;Mujeres;Condenados con cuatro penas;2018;3.074
Total Nacional;Mujeres;Condenados con cuatro penas;2017;3.029
Total Nacional;Mujeres;Condenados con cuatro penas;2016;2.700
Total Nacional;Mujeres;Condenados con cuatro penas;2015;2.453
Total Nacional;Mujeres;Condenados con cuatro penas;2014;2.274
Total Nacional;Mujeres;Condenados con cuatro penas;2013;2.066
Total Nacional;Mujeres;Condenados con cinco penas;2022;1.506
Total Nacional;Mujeres;Condenados con cinco penas;2021;1.532
Total Nacional;Mujeres;Condenados con cinco penas;2020;1.107
Total Nacional;Mujeres;Condenados con cinco penas;2019;1.486
Total Nacional;Mujeres;Condenados con cinco penas;2018;1.410
Total Nacional;Mujeres;Condenados con cinco penas;2017;1.337
Total Nacional;Mujeres;Condenados con cinco penas;2016;1.136
Total Nacional;Mujeres;Condenados con cinco penas;2015;940
Total Nacional;Mujeres;Condenados con cinco penas;2014;916
Total Nacional;Mujeres;Condenados con cinco penas;2013;822
Total Nacional;Mujeres;Condenados con seis o más penas;2022;2.718
Total Nacional;Mujeres;Condenados con seis o más penas;2021;2.733
Total Nacional;Mujeres;Condenados con seis o más penas;2020;1.826
Total Nacional;Mujeres;Condenados con seis o más penas;2019;2.779
Total Nacional;Mujeres;Condenados con seis o más penas;2018;2.563
Total Nacional;Mujeres;Condenados con seis o más penas;2017;2.214
Total Nacional;Mujeres;Condenados con seis o más penas;2016;1.868
Total Nacional;Mujeres;Condenados con seis o más penas;2015;1.354
Total Nacional;Mujeres;Condenados con seis o más penas;2014;1.326
Total Nacional;Mujeres;Condenados con seis o más penas;2013;1.104
01 Andalucía;Total;Total;2022;59.859
01 Andalucía;Total;Total;2021;55.397
01 Andalucía;Total;Total;2020;42.464
01 Andalucía;Total;Total;2019;54.848
01 Andalucía;Total;Total;2018;56.893
01 Andalucía;Total;Total;2017;55.657
01 Andalucía;Total;Total;2016;53.174
01 Andalucía;Total;Total;2015;43.851
01 Andalucía;Total;Total;2014;42.564
01 Andalucía;Total;Total;2013;44.033
01 Andalucía;Total;Condenados con una pena;2022;21.874
01 Andalucía;Total;Condenados con una pena;2021;20.007
01 Andalucía;Total;Condenados con una pena;2020;15.791
01 Andalucía;Total;Condenados con una pena;2019;21.193
01 Andalucía;Total;Condenados con una pena;2018;22.729
01 Andalucía;Total;Condenados con una pena;2017;22.327
01 Andalucía;Total;Condenados con una pena;2016;20.418
01 Andalucía;Total;Condenados con una pena;2015;12.286
01 Andalucía;Total;Condenados con una pena;2014;10.909
01 Andalucía;Total;Condenados con una pena;2013;11.238
01 Andalucía;Total;Condenados con dos penas;2022;17.000
01 Andalucía;Total;Condenados con dos penas;2021;15.595
01 Andalucía;Total;Condenados con dos penas;2020;11.722
01 Andalucía;Total;Condenados con dos penas;2019;15.279
01 Andalucía;Total;Condenados con dos penas;2018;15.555
01 Andalucía;Total;Condenados con dos penas;2017;15.551
01 Andalucía;Total;Condenados con dos penas;2016;15.662
01 Andalucía;Total;Condenados con dos penas;2015;16.127
01 Andalucía;Total;Condenados con dos penas;2014;16.455
01 Andalucía;Total;Condenados con dos penas;2013;17.484
01 Andalucía;Total;Condenados con tres penas;2022;7.050
01 Andalucía;Total;Condenados con tres penas;2021;6.892
01 Andalucía;Total;Condenados con tres penas;2020;5.185
01 Andalucía;Total;Condenados con tres penas;2019;6.423
01 Andalucía;Total;Condenados con tres penas;2018;6.757
01 Andalucía;Total;Condenados con tres penas;2017;6.694
01 Andalucía;Total;Condenados con tres penas;2016;6.592
01 Andalucía;Total;Condenados con tres penas;2015;5.935
01 Andalucía;Total;Condenados con tres penas;2014;5.760
01 Andalucía;Total;Condenados con tres penas;2013;6.223
01 Andalucía;Total;Condenados con cuatro penas;2022;5.721
01 Andalucía;Total;Condenados con cuatro penas;2021;5.182
01 Andalucía;Total;Condenados con cuatro penas;2020;4.049
01 Andalucía;Total;Condenados con cuatro penas;2019;4.744
01 Andalucía;Total;Condenados con cuatro penas;2018;4.698
01 Andalucía;Total;Condenados con cuatro penas;2017;4.495
01 Andalucía;Total;Condenados con cuatro penas;2016;4.464
01 Andalucía;Total;Condenados con cuatro penas;2015;4.318
01 Andalucía;Total;Condenados con cuatro penas;2014;4.352
01 Andalucía;Total;Condenados con cuatro penas;2013;4.071
01 Andalucía;Total;Condenados con cinco penas;2022;2.521
01 Andalucía;Total;Condenados con cinco penas;2021;2.543
01 Andalucía;Total;Condenados con cinco penas;2020;1.928
01 Andalucía;Total;Condenados con cinco penas;2019;2.351
01 Andalucía;Total;Condenados con cinco penas;2018;2.517
01 Andalucía;Total;Condenados con cinco penas;2017;2.288
01 Andalucía;Total;Condenados con cinco penas;2016;2.257
01 Andalucía;Total;Condenados con cinco penas;2015;1.964
01 Andalucía;Total;Condenados con cinco penas;2014;2.066
01 Andalucía;Total;Condenados con cinco penas;2013;2.092
01 Andalucía;Total;Condenados con seis o más penas;2022;5.693
01 Andalucía;Total;Condenados con seis o más penas;2021;5.178
01 Andalucía;Total;Condenados con seis o más penas;2020;3.789
01 Andalucía;Total;Condenados con seis o más penas;2019;4.858
01 Andalucía;Total;Condenados con seis o más penas;2018;4.637
01 Andalucía;Total;Condenados con seis o más penas;2017;4.302
01 Andalucía;Total;Condenados con seis o más penas;2016;3.781
01 Andalucía;Total;Condenados con seis o más penas;2015;3.221
01 Andalucía;Total;Condenados con seis o más penas;2014;3.022
01 Andalucía;Total;Condenados con seis o más penas;2013;2.925
01 Andalucía;Hombres;Total;2022;48.554
01 Andalucía;Hombres;Total;2021;44.900
01 Andalucía;Hombres;Total;2020;34.429
01 Andalucía;Hombres;Total;2019;43.624
01 Andalucía;Hombres;Total;2018;44.819
01 Andalucía;Hombres;Total;2017;44.030
01 Andalucía;Hombres;Total;2016;43.106
01 Andalucía;Hombres;Total;2015;37.613
01 Andalucía;Hombres;Total;2014;37.234
01 Andalucía;Hombres;Total;2013;38.902
01 Andalucía;Hombres;Condenados con una pena;2022;15.845
01 Andalucía;Hombres;Condenados con una pena;2021;14.445
01 Andalucía;Hombres;Condenados con una pena;2020;11.355
01 Andalucía;Hombres;Condenados con una pena;2019;14.750
01 Andalucía;Hombres;Condenados con una pena;2018;15.543
01 Andalucía;Hombres;Condenados con una pena;2017;15.346
01 Andalucía;Hombres;Condenados con una pena;2016;14.531
01 Andalucía;Hombres;Condenados con una pena;2015;9.671
01 Andalucía;Hombres;Condenados con una pena;2014;9.079
01 Andalucía;Hombres;Condenados con una pena;2013;9.513
01 Andalucía;Hombres;Condenados con dos penas;2022;14.279
01 Andalucía;Hombres;Condenados con dos penas;2021;13.101
01 Andalucía;Hombres;Condenados con dos penas;2020;9.869
01 Andalucía;Hombres;Condenados con dos penas;2019;12.821
01 Andalucía;Hombres;Condenados con dos penas;2018;12.983
01 Andalucía;Hombres;Condenados con dos penas;2017;13.024
01 Andalucía;Hombres;Condenados con dos penas;2016;13.349
01 Andalucía;Hombres;Condenados con dos penas;2015;14.010
01 Andalucía;Hombres;Condenados con dos penas;2014;14.430
01 Andalucía;Hombres;Condenados con dos penas;2013;15.465
01 Andalucía;Hombres;Condenados con tres penas;2022;5.979
01 Andalucía;Hombres;Condenados con tres penas;2021;5.790
01 Andalucía;Hombres;Condenados con tres penas;2020;4.405
01 Andalucía;Hombres;Condenados con tres penas;2019;5.353
01 Andalucía;Hombres;Condenados con tres penas;2018;5.681
01 Andalucía;Hombres;Condenados con tres penas;2017;5.637
01 Andalucía;Hombres;Condenados con tres penas;2016;5.624
01 Andalucía;Hombres;Condenados con tres penas;2015;5.171
01 Andalucía;Hombres;Condenados con tres penas;2014;5.031
01 Andalucía;Hombres;Condenados con tres penas;2013;5.507
01 Andalucía;Hombres;Condenados con cuatro penas;2022;5.049
01 Andalucía;Hombres;Condenados con cuatro penas;2021;4.567
01 Andalucía;Hombres;Condenados con cuatro penas;2020;3.582
01 Andalucía;Hombres;Condenados con cuatro penas;2019;4.168
01 Andalucía;Hombres;Condenados con cuatro penas;2018;4.129
01 Andalucía;Hombres;Condenados con cuatro penas;2017;3.986
01 Andalucía;Hombres;Condenados con cuatro penas;2016;4.025
01 Andalucía;Hombres;Condenados con cuatro penas;2015;3.944
01 Andalucía;Hombres;Condenados con cuatro penas;2014;3.955
01 Andalucía;Hombres;Condenados con cuatro penas;2013;3.704
01 Andalucía;Hombres;Condenados con cinco penas;2022;2.222
01 Andalucía;Hombres;Condenados con cinco penas;2021;2.273
01 Andalucía;Hombres;Condenados con cinco penas;2020;1.736
01 Andalucía;Hombres;Condenados con cinco penas;2019;2.101
01 Andalucía;Hombres;Condenados con cinco penas;2018;2.245
01 Andalucía;Hombres;Condenados con cinco penas;2017;2.083
01 Andalucía;Hombres;Condenados con cinco penas;2016;2.072
01 Andalucía;Hombres;Condenados con cinco penas;2015;1.794
01 Andalucía;Hombres;Condenados con cinco penas;2014;1.905
01 Andalucía;Hombres;Condenados con cinco penas;2013;1.943
01 Andalucía;Hombres;Condenados con seis o más penas;2022;5.180
01 Andalucía;Hombres;Condenados con seis o más penas;2021;4.724
01 Andalucía;Hombres;Condenados con seis o más penas;2020;3.482
01 Andalucía;Hombres;Condenados con seis o más penas;2019;4.431
01 Andalucía;Hombres;Condenados con seis o más penas;2018;4.238
01 Andalucía;Hombres;Condenados con seis o más penas;2017;3.954
01 Andalucía;Hombres;Condenados con seis o más penas;2016;3.505
01 Andalucía;Hombres;Condenados con seis o más penas;2015;3.023
01 Andalucía;Hombres;Condenados con seis o más penas;2014;2.834
01 Andalucía;Hombres;Condenados con seis o más penas;2013;2.770
01 Andalucía;Mujeres;Total;2022;11.305
01 Andalucía;Mujeres;Total;2021;10.497
01 Andalucía;Mujeres;Total;2020;8.035
01 Andalucía;Mujeres;Total;2019;11.224
01 Andalucía;Mujeres;Total;2018;12.074
01 Andalucía;Mujeres;Total;2017;11.627
01 Andalucía;Mujeres;Total;2016;10.068
01 Andalucía;Mujeres;Total;2015;6.238
01 Andalucía;Mujeres;Total;2014;5.330
01 Andalucía;Mujeres;Total;2013;5.131
01 Andalucía;Mujeres;Condenados con una pena;2022;6.029
01 Andalucía;Mujeres;Condenados con una pena;2021;5.562
01 Andalucía;Mujeres;Condenados con una pena;2020;4.436
01 Andalucía;Mujeres;Condenados con una pena;2019;6.443
01 Andalucía;Mujeres;Condenados con una pena;2018;7.186
01 Andalucía;Mujeres;Condenados con una pena;2017;6.981
01 Andalucía;Mujeres;Condenados con una pena;2016;5.887
01 Andalucía;Mujeres;Condenados con una pena;2015;2.615
01 Andalucía;Mujeres;Condenados con una pena;2014;1.830
01 Andalucía;Mujeres;Condenados con una pena;2013;1.725
01 Andalucía;Mujeres;Condenados con dos penas;2022;2.721
01 Andalucía;Mujeres;Condenados con dos penas;2021;2.494
01 Andalucía;Mujeres;Condenados con dos penas;2020;1.853
01 Andalucía;Mujeres;Condenados con dos penas;2019;2.458
01 Andalucía;Mujeres;Condenados con dos penas;2018;2.572
01 Andalucía;Mujeres;Condenados con dos penas;2017;2.527
01 Andalucía;Mujeres;Condenados con dos penas;2016;2.313
01 Andalucía;Mujeres;Condenados con dos penas;2015;2.117
01 Andalucía;Mujeres;Condenados con dos penas;2014;2.025
01 Andalucía;Mujeres;Condenados con dos penas;2013;2.019
01 Andalucía;Mujeres;Condenados con tres penas;2022;1.071
01 Andalucía;Mujeres;Condenados con tres penas;2021;1.102
01 Andalucía;Mujeres;Condenados con tres penas;2020;780
01 Andalucía;Mujeres;Condenados con tres penas;2019;1.070
01 Andalucía;Mujeres;Condenados con tres penas;2018;1.076
01 Andalucía;Mujeres;Condenados con tres penas;2017;1.057
01 Andalucía;Mujeres;Condenados con tres penas;2016;968
01 Andalucía;Mujeres;Condenados con tres penas;2015;764
01 Andalucía;Mujeres;Condenados con tres penas;2014;729
01 Andalucía;Mujeres;Condenados con tres penas;2013;716
01 Andalucía;Mujeres;Condenados con cuatro penas;2022;672
01 Andalucía;Mujeres;Condenados con cuatro penas;2021;615
01 Andalucía;Mujeres;Condenados con cuatro penas;2020;467
01 Andalucía;Mujeres;Condenados con cuatro penas;2019;576
01 Andalucía;Mujeres;Condenados con cuatro penas;2018;569
01 Andalucía;Mujeres;Condenados con cuatro penas;2017;509
01 Andalucía;Mujeres;Condenados con cuatro penas;2016;439
01 Andalucía;Mujeres;Condenados con cuatro penas;2015;374
01 Andalucía;Mujeres;Condenados con cuatro penas;2014;397
01 Andalucía;Mujeres;Condenados con cuatro penas;2013;367
01 Andalucía;Mujeres;Condenados con cinco penas;2022;299
01 Andalucía;Mujeres;Condenados con cinco penas;2021;270
01 Andalucía;Mujeres;Condenados con cinco penas;2020;192
01 Andalucía;Mujeres;Condenados con cinco penas;2019;250
01 Andalucía;Mujeres;Condenados con cinco penas;2018;272
01 Andalucía;Mujeres;Condenados con cinco penas;2017;205
01 Andalucía;Mujeres;Condenados con cinco penas;2016;185
01 Andalucía;Mujeres;Condenados con cinco penas;2015;170
01 Andalucía;Mujeres;Condenados con cinco penas;2014;161
01 Andalucía;Mujeres;Condenados con cinco penas;2013;149
01 Andalucía;Mujeres;Condenados con seis o más penas;2022;513
01 Andalucía;Mujeres;Condenados con seis o más penas;2021;454
01 Andalucía;Mujeres;Condenados con seis o más penas;2020;307
01 Andalucía;Mujeres;Condenados con seis o más penas;2019;427
01 Andalucía;Mujeres;Condenados con seis o más penas;2018;399
01 Andalucía;Mujeres;Condenados con seis o más penas;2017;348
01 Andalucía;Mujeres;Condenados con seis o más penas;2016;276
01 Andalucía;Mujeres;Condenados con seis o más penas;2015;198
01 Andalucía;Mujeres;Condenados con seis o más penas;2014;188
01 Andalucía;Mujeres;Condenados con seis o más penas;2013;155
02 Aragón;Total;Total;2022;7.549
02 Aragón;Total;Total;2021;6.898
02 Aragón;Total;Total;2020;5.521
02 Aragón;Total;Total;2019;6.742
02 Aragón;Total;Total;2018;6.471
02 Aragón;Total;Total;2017;6.583
02 Aragón;Total;Total;2016;6.696
02 Aragón;Total;Total;2015;5.501
02 Aragón;Total;Total;2014;5.079
02 Aragón;Total;Total;2013;4.931
02 Aragón;Total;Condenados con una pena;2022;2.498
02 Aragón;Total;Condenados con una pena;2021;2.197
02 Aragón;Total;Condenados con una pena;2020;1.835
02 Aragón;Total;Condenados con una pena;2019;2.412
02 Aragón;Total;Condenados con una pena;2018;2.331
02 Aragón;Total;Condenados con una pena;2017;2.290
02 Aragón;Total;Condenados con una pena;2016;2.445
02 Aragón;Total;Condenados con una pena;2015;1.446
02 Aragón;Total;Condenados con una pena;2014;1.065
02 Aragón;Total;Condenados con una pena;2013;956
02 Aragón;Total;Condenados con dos penas;2022;2.233
02 Aragón;Total;Condenados con dos penas;2021;2.086
02 Aragón;Total;Condenados con dos penas;2020;1.675
02 Aragón;Total;Condenados con dos penas;2019;1.928
02 Aragón;Total;Condenados con dos penas;2018;1.947
02 Aragón;Total;Condenados con dos penas;2017;2.040
02 Aragón;Total;Condenados con dos penas;2016;2.130
02 Aragón;Total;Condenados con dos penas;2015;2.115
02 Aragón;Total;Condenados con dos penas;2014;2.100
02 Aragón;Total;Condenados con dos penas;2013;2.167
02 Aragón;Total;Condenados con tres penas;2022;1.008
02 Aragón;Total;Condenados con tres penas;2021;916
02 Aragón;Total;Condenados con tres penas;2020;761
02 Aragón;Total;Condenados con tres penas;2019;855
02 Aragón;Total;Condenados con tres penas;2018;806
02 Aragón;Total;Condenados con tres penas;2017;809
02 Aragón;Total;Condenados con tres penas;2016;819
02 Aragón;Total;Condenados con tres penas;2015;822
02 Aragón;Total;Condenados con tres penas;2014;735
02 Aragón;Total;Condenados con tres penas;2013;708
02 Aragón;Total;Condenados con cuatro penas;2022;821
02 Aragón;Total;Condenados con cuatro penas;2021;722
02 Aragón;Total;Condenados con cuatro penas;2020;576
02 Aragón;Total;Condenados con cuatro penas;2019;650
02 Aragón;Total;Condenados con cuatro penas;2018;578
02 Aragón;Total;Condenados con cuatro penas;2017;611
02 Aragón;Total;Condenados con cuatro penas;2016;592
02 Aragón;Total;Condenados con cuatro penas;2015;574
02 Aragón;Total;Condenados con cuatro penas;2014;582
02 Aragón;Total;Condenados con cuatro penas;2013;542
02 Aragón;Total;Condenados con cinco penas;2022;262
02 Aragón;Total;Condenados con cinco penas;2021;317
02 Aragón;Total;Condenados con cinco penas;2020;201
02 Aragón;Total;Condenados con cinco penas;2019;278
02 Aragón;Total;Condenados con cinco penas;2018;245
02 Aragón;Total;Condenados con cinco penas;2017;282
02 Aragón;Total;Condenados con cinco penas;2016;209
02 Aragón;Total;Condenados con cinco penas;2015;212
02 Aragón;Total;Condenados con cinco penas;2014;228
02 Aragón;Total;Condenados con cinco penas;2013;209
02 Aragón;Total;Condenados con seis o más penas;2022;727
02 Aragón;Total;Condenados con seis o más penas;2021;660
02 Aragón;Total;Condenados con seis o más penas;2020;473
02 Aragón;Total;Condenados con seis o más penas;2019;619
02 Aragón;Total;Condenados con seis o más penas;2018;564
02 Aragón;Total;Condenados con seis o más penas;2017;551
02 Aragón;Total;Condenados con seis o más penas;2016;501
02 Aragón;Total;Condenados con seis o más penas;2015;332
02 Aragón;Total;Condenados con seis o más penas;2014;369
02 Aragón;Total;Condenados con seis o más penas;2013;349
02 Aragón;Hombres;Total;2022;6.104
02 Aragón;Hombres;Total;2021;5.581
02 Aragón;Hombres;Total;2020;4.483
02 Aragón;Hombres;Total;2019;5.391
02 Aragón;Hombres;Total;2018;5.180
02 Aragón;Hombres;Total;2017;5.215
02 Aragón;Hombres;Total;2016;5.380
